ID,Feature_ID,Kindom,Phylum,Class,Order,Family,Genus,Species,Confidence,frequency,niche_width,Taxa,Group,Partition,Function,Process,MRA
ASV1,feb89dc9caf19ef8293e6bb151ee1866,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Unknown,0.999475414,0.637436762,385.0023345,core,abundant,below,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.012072538
ASV2,08bd45c0807b6fb44faaa54fb53e4213,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,Unknown,0.999172217,0.555649241,168.2279713,core,abundant,below,Denitrifiers/Fermenter/Sugars/Lipids/Proteins,N_remove,0.009454903
ASV3,2a2af3995b876e7cd96f3bbdce65caeb,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_384,midas_s_384,0.970148613,0.534569983,113.2656684,core,abundant,below,Unassigned,Unassigned,0.008100857
ASV4,f759b2828f1c6d6f1ff3f25697e0037e,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,midas_s_3279,0.999932363,0.220910624,56.47195416,core,abundant,below,Unassigned,Unassigned,0.00612053
ASV5,adfb67f460d65aa8614bed0880411c61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Unknown,Unknown,0.999985007,0.372681282,99.29799794,core,abundant,below,Unassigned,Unassigned,0.007460049
ASV6,e38bafa6321bd4ed4b15f934c3eb652c,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira_defluvii,0.9742487,0.809443508,537.7204575,core,abundant,below,Nitrifiers/DNRA/Proteins,N_remove,0.00634438
ASV7,259eb055b09c7c621e62bec9d100d490,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,Unknown,0.994933701,0.644182125,185.9054199,core,abundant,below,Denitrifiers/DNRA/Sugars/Lipids/Proteins,N_remove,0.006127934
ASV8,f3adc35cb1fc524f48eba2a0ea2c2b07,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999995386,0.758853288,213.4517876,core,abundant,below,Unassigned,Unassigned,0.00586304
ASV9,bb4b27bff71e8681569504db2c3fcf99,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Unknown,1,0.477234401,221.316267,core,abundant,below,Nitrifiers/DNRA/Proteins,N_remove,0.005560804
ASV10,ff289c73ac6541ac56707936f501a2cd,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus_lubricus_group,Unknown,0.986529715,0.633220911,262.8808763,core,abundant,below,Unassigned,Unassigned,0.005382746
ASV11,04b4ed8ceabf387ba2caa3e54509965d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_558,Unknown,0.999897352,0.634907251,118.2346104,core,abundant,below,Unassigned,Unassigned,0.005006148
ASV12,7f364ea6e336bd86002c0d0d09ecb22c,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_177,0.999754023,0.487352445,97.21839605,core,abundant,below,Unassigned,Unassigned,0.004525653
ASV13,1c7d2ad94334dd47c5d0181ab8aea2b9,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,midas_s_2255,0.794566243,0.879426644,256.4563977,core,abundant,neutral,Denitrifiers/SOB/Fermenter/Sugars/Lipids/Proteins,N_S_remove,0.004509074
ASV14,45ffedadc43d8030c7f8a405ca9ab0db,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,Unknown,0.99999911,0.520236088,204.1105695,core,abundant,below,Denitrifiers/Proteins,N_remove,0.004313995
ASV15,2692b51dc69b7a25255e60c4e6b8d269,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,Unknown,0.998629066,0.619730185,282.2758763,core,abundant,below,Unassigned,Unassigned,0.004291461
ASV16,123e950130b49f3692b2898d9a43ef9c,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,midas_g_2126,midas_s_9620,0.903933623,0.516863406,110.2360779,core,abundant,below,Unassigned,Unassigned,0.004125676
ASV17,95e1651dc9afdc9bb6b734c91242f080,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,midas_g_9711,midas_s_9711,0.999996602,0.635750422,213.0237211,core,abundant,below,Unassigned,Unassigned,0.004002745
ASV18,8612a638846acf832935cb932a1f0398,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Unknown,0.999475956,0.978077572,277.0214689,core,abundant,above,Filamentous/Fermenter/Sugars/Proteins,Foaming,0.003740748
ASV19,f34cdcd73e535507d29c29b19d01f658,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Unknown,0.703707119,0.387858347,124.3215953,core,abundant,below,Denitrifiers/SRB/Fermenter/Sugars/Lipids/Proteins,N_S_remove,0.004385983
ASV20,10aa3fe0c9285b3a9bb386ecca984c5b,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_65,0.999848636,0.57925801,143.3558046,core,abundant,below,Unassigned,Unassigned,0.003851728
ASV21,99fee0a19b008f861969600865c985de,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_558,Unknown,0.99980617,0.587689713,237.4306205,core,abundant,below,Unassigned,Unassigned,0.00395981
ASV22,767f3283ab767c0a7adbf5a18db0742a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,Unknown,0.993677973,0.596964587,243.7474064,core,abundant,below,Denitrifiers/PAOs/SRB/Proteins,N_P_S_remove,0.003783643
ASV23,4da1ab0190b065b4136bce78f2a475b7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Unknown,0.916819863,0.381956155,120.0159379,core,abundant,below,Denitrifiers/PAOs/GAOs/SRB/Lipids/Proteins,N_P_S_remove,0.004047894
ASV24,37f0f50bbe241beb5ca3703a962a8e8d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_11,0.986805247,0.302698145,86.63008099,core,abundant,below,Sugars/Lipids/Proteins,C_cycle,0.003434408
ASV25,a7038b203910eeed280371a9571c866d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6,midas_s_862,0.819731148,0.310286678,153.3209037,core,abundant,below,Unassigned,Unassigned,0.003779378
ASV26,41d407d2dcd22d6ed303635fcdd94744,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Ca_Epiflobacter,midas_s_89,0.952151323,0.726812816,161.3978523,core,abundant,below,Proteins,C_cycle,0.003475734
ASV27,a8985695e90a39ad84c796e38206f195,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus_lubricus_group,Unknown,0.950779602,0.3693086,165.1811276,core,abundant,below,Unassigned,Unassigned,0.003446319
ASV28,4da62986df30d31d35fe1a57ca42739d,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Unknown,0.999468269,0.456998314,209.7952282,core,abundant,below,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.003055195
ASV29,4e2f56dc21eda3790b2046043718af7f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999946295,0.467116358,221.6993271,core,abundant,below,Unassigned,Unassigned,0.00313523
ASV30,4bd529b387c3c04d3e21110ee9294ac4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999985876,0.475548061,184.7094626,core,abundant,below,Unassigned,Unassigned,0.003156597
ASV31,59364744507fc064189cc76039389725,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unknown,Unknown,0.999998438,0.515177066,258.6600707,core,abundant,below,Unassigned,Unassigned,0.002942404
