Source,Target,weight
AT5G47220,AT1G32630,1
AT5G47220,AT1G08840,1
AT5G47220,AT1G14030,1
AT5G47220,AT1G16730,1
AT5G47220,AT1G21610,1
AT5G47220,AT1G31835,1
AT5G47220,AT1G33415,1
AT5G47220,AT1G52510,1
AT5G47220,AT1G55810,1
AT5G47220,AT1G60080,1
AT5G47220,AT1G61820,1
AT5G47220,AT1G75340,1
AT5G47220,AT2G03050,1
AT5G47220,AT2G24500,1
AT5G47220,AT2G32090,1
AT5G47220,AT2G35930,1
AT5G47220,AT2G41700,1
AT5G47220,AT2G46910,1
AT5G47220,AT3G01910,1
AT5G47220,AT3G12980,1
AT5G47220,AT3G22100,1
AT5G47220,AT3G23620,1
AT5G47220,AT3G45880,1
AT5G47220,AT3G49410,1
AT5G47220,AT3G62800,1
AT5G47220,AT3G63400,1
AT5G47220,AT4G00080,1
AT5G47220,AT4G00895,1
AT5G47220,AT4G08580,1
AT5G47220,AT4G16710,1
AT5G47220,AT4G17760,1
AT5G47220,AT4G21150,1
AT5G47220,AT4G24250,1
AT5G47220,AT4G27490,1
AT5G47220,AT4G28800,1
AT5G47220,AT4G29380,1
AT5G47220,AT4G31150,1
AT5G47220,AT4G33467,1
AT5G47220,AT5G01175,1
AT5G47220,AT5G02820,1
AT5G47220,AT5G05600,1
AT5G47220,AT5G07890,1
AT5G47220,AT5G43870,1
AT5G47220,AT5G48240,1
AT5G47220,AT5G53860,1
AT5G47220,AT5G59070,1
AT2G20180,AT1G03630,1
AT2G20180,AT1G03180,1
AT2G20180,AT1G06135,1
AT2G20180,AT1G08170,1
AT2G20180,AT3G46630,1
AT2G20180,AT3G01510,1
AT2G20180,AT1G15150,1
AT2G20180,AT1G15170,1
AT2G20180,AT1G15180,1
AT2G20180,AT1G16540,1
AT2G20180,AT1G19000,1
AT2G20180,AT5G61830,1
AT2G20180,AT1G19660,1
AT2G20180,AT1G20515,1
AT2G20180,AT1G21440,1
AT2G20180,AT1G22180,1
AT2G20180,AT1G22750,1
AT2G20180,AT1G24580,1
AT2G20180,AT1G30550,1
AT2G20180,AT1G31420,1
AT2G20180,AT1G03030,1
AT2G20180,AT3G23230,1
AT2G20180,AT1G52220,1
AT2G20180,AT1G54500,1
AT2G20180,AT2G30570,1
AT2G20180,AT5G02880,1
AT2G20180,AT1G60600,1
AT2G20180,AT1G69800,1
AT2G20180,AT1G70580,1
AT2G20180,AT1G72100,1
AT2G20180,AT1G72820,1
AT2G20180,AT1G73120,1
AT2G20180,AT1G74320,1
AT2G20180,AT5G04460,1
AT2G20180,AT1G77000,1
AT2G20180,AT1G78510,1
AT2G20180,AT1G78900,1
AT2G20180,AT5G11090,1
AT2G20180,AT2G34620,1
AT2G20180,AT2G36270,1
AT2G20180,AT2G36895,1
AT2G20180,AT2G37480,1
AT2G20180,AT2G37750,1
AT2G20180,AT2G43140,1
AT2G20180,AT2G43480,1
AT2G20180,AT2G46700,1
AT2G20180,AT3G50240,1
AT2G20180,AT3G01990,1
AT2G20180,AT3G04210,1
AT2G20180,AT3G63060,1
AT2G20180,AT3G07390,1
AT2G20180,AT4G31115,1
AT2G20180,AT3G12320,1
AT2G20180,AT3G13980,1
AT2G20180,AT3G14330,1
AT2G20180,AT3G21870,1
AT2G20180,AT3G21055,1
AT2G20180,AT3G29575,1
AT2G20180,AT3G50060,1
AT2G20180,AT3G51830,1
AT2G20180,AT3G53180,1
AT2G20180,AT3G54890,1
AT2G20180,AT3G56010,1
AT2G20180,AT3G59820,1
AT2G20180,AT5G48610,1
AT2G20180,AT4G00490,1
AT2G20180,AT4G00850,1
AT2G20180,AT4G01883,1
AT2G20180,AT5G46870,1
AT2G20180,AT4G16160,1
AT2G20180,AT5G17300,1
AT2G20180,AT1G23310,1
AT2G20180,AT4G17560,1
AT2G20180,AT4G18520,1
AT2G20180,AT4G24100,1
AT2G20180,AT4G25130,1
AT2G20180,AT4G25450,1
AT2G20180,AT5G64710,1
AT2G20180,AT4G25580,1
AT2G20180,AT4G28290,1
AT2G20180,AT5G23120,1
AT2G20180,AT4G38950,1
AT2G20180,AT4G40010,1
AT2G20180,AT5G01530,1
AT2G20180,AT5G04250,1
AT2G20180,AT3G19800,1
AT2G20180,AT5G05965,1
AT2G20180,AT5G12840,1
AT2G20180,AT5G13650,1
AT2G20180,AT5G16800,1
AT2G20180,AT5G18670,1
AT2G20180,AT5G66570,1
AT2G20180,AT5G26600,1
AT2G20180,AT5G38520,1
AT2G20180,AT5G50300,1
AT2G20180,AT5G51990,1
AT2G20180,AT5G57610,1
AT2G20180,AT5G24155,1
AT2G20180,AT1G05360,1
AT5G67580,AT1G03530,1
AT5G67580,AT1G10270,1
AT5G67580,AT1G13870,1
AT5G67580,AT1G16800,1
AT5G67580,AT1G23410,1
AT5G67580,AT1G26900,1
AT5G67580,AT1G36310,1
AT5G67580,AT1G56110,1
AT5G67580,AT1G64600,1
AT5G67580,AT1G65030,1
AT5G67580,AT1G72820,1
AT5G67580,AT1G77390,1
AT5G67580,AT1G77570,1
AT5G67580,AT2G05120,1
AT5G67580,AT2G33090,1
AT5G67580,AT2G34210,1
AT5G67580,AT2G34570,1
AT5G67580,AT2G34900,1
AT5G67580,AT2G45970,1
AT5G67580,AT2G47110,1
AT5G67580,AT2G47990,1
AT5G67580,AT3G06530,1
AT5G67580,AT3G07050,1
AT5G67580,AT3G22700,1
AT5G67580,AT3G46950,1
AT5G67580,AT3G55485,1
AT5G67580,AT3G56990,1
AT5G67580,AT3G59630,1
AT5G67580,AT3G62840,1
AT5G67580,AT4G05400,1
AT5G67580,AT4G10620,1
AT5G67580,AT4G12750,1
AT5G67580,AT4G14560,1
AT5G67580,AT4G15640,1
AT5G67580,AT4G26795,1
AT5G67580,AT4G31150,1
AT5G67580,AT5G65860,1
AT5G67580,AT5G06000,1
AT5G67580,AT5G07310,1
AT5G67580,AT5G24840,1
AT5G67580,AT5G26110,1
AT5G67580,AT5G52100,1
AT5G67580,AT5G54910,1
AT5G67580,AT5G62160,1
AT5G07310,AT1G08840,1
AT5G07310,AT5G54600,1
AT5G07310,AT1G14030,1
AT5G07310,AT1G21610,1
AT5G07310,AT1G48580,1
AT5G07310,AT5G48390,1
AT5G07310,AT1G31360,1
AT5G07310,AT5G56900,1
AT5G07310,AT1G55810,1
AT5G07310,AT1G56180,1
AT5G07310,AT1G60080,1
AT5G07310,AT4G14870,1
AT5G07310,AT3G21755,1
AT5G07310,AT1G75340,1
AT5G07310,AT2G24500,1
AT5G07310,AT2G31920,1
AT5G07310,AT5G01920,1
AT5G07310,AT2G46910,1
AT5G07310,AT3G17300,1
AT5G07310,AT4G32350,1
AT5G07310,AT3G29360,1
AT5G07310,AT3G45880,1
AT5G07310,AT3G49410,1
AT5G07310,AT5G61350,1
AT5G07310,AT3G56570,1
AT5G07310,AT3G58660,1
AT5G07310,AT3G61070,1
AT5G07310,AT3G62800,1
AT5G07310,AT4G00895,1
AT5G07310,AT4G01037,1
AT5G07310,AT4G13500,1
AT5G07310,AT4G21926,1
AT5G07310,AT4G24250,1
AT5G07310,AT5G42630,1
AT5G07310,AT4G27490,1
AT5G07310,AT4G28310,1
AT5G07310,AT4G28550,1
AT5G07310,AT4G30845,1
AT5G07310,AT4G31150,1
AT5G07310,AT4G33467,1
AT5G07310,AT4G37670,1
AT5G07310,AT5G09690,1
AT5G07310,AT5G47430,1
AT5G07310,AT5G50240,1
AT5G07310,AT5G58250,1
AT5G07310,AT5G59070,1
AT5G07310,AT5G67300,1
AT3G23220,AT1G03540,1
AT3G23220,AT3G07050,1
AT3G23220,AT1G16445,1
AT3G23220,AT1G17665,1
AT3G23220,AT1G19960,1
AT3G23220,AT1G20060,1
AT3G23220,AT1G21528,1
AT3G23220,AT1G57650,1
AT3G23220,AT1G49540,1
AT3G23220,AT1G56180,1
AT3G23220,AT1G56220,1
AT3G23220,AT1G71140,1
AT3G23220,AT3G44400,1
AT3G23220,AT1G79790,1
AT3G23220,AT1G80060,1
AT3G23220,AT2G03060,1
AT3G23220,AT2G17850,1
AT3G23220,AT2G21950,1
AT3G23220,AT2G35050,1
AT3G23220,AT3G14075,1
AT3G23220,AT2G46860,1
AT3G23220,AT3G01540,1
AT3G23220,AT3G04350,1
AT3G23220,AT3G06960,1
AT3G23220,AT3G09660,1
AT3G23220,AT3G09730,1
AT3G23220,AT3G10060,1
AT3G23220,AT3G10680,1
AT3G23220,AT3G16150,1
AT3G23220,AT3G17250,1
AT3G23220,AT5G42770,1
AT3G23220,AT3G49400,1
AT3G23220,AT3G57570,1
AT3G23220,AT3G61010,1
AT3G23220,AT3G63130,1
AT3G23220,AT4G06746,1
AT3G23220,AT4G16400,1
AT3G23220,AT4G17760,1
AT3G23220,AT4G18240,1
AT3G23220,AT1G27420,1
AT3G23220,AT5G01175,1
AT3G23220,AT5G06120,1
