Sample,TF1,TF2,TF3,TF4,TF5
Sample1,2.62,4.6,2.62,3,2.2
Sample2,2.875,2.2,2.875,3.8,3.4
Sample3,2.32,4.8,2.32,3,2
Sample4,3.215,2.8,3.215,3.8,3.2
Sample5,3.44,1,3.44,3.4,3.6
Sample6,3.46,4.2,3.46,1.4,2.8
Sample7,3.57,1.4,3.57,3.2,4
Sample8,3.19,2,3.19,1.6,3.8
Sample9,3.15,3.8,3.15,5,5
Sample10,3.44,2.2,3.44,5,2.2
Sample11,3.44,1,3.44,4.2,1.6
Sample12,4.07,2.4,4.07,4.8,4.2
Sample13,3.73,2.6,3.73,4.6,4
Sample14,3.78,2,3.78,3.6,3.2
Sample15,5.25,3.4,5.25,4,3.4
Sample16,5.424,1.2,5.424,3.8,4.8
Sample17,5.345,4.6,5.345,1,4.2
Sample18,2.2,1.4,2.2,2.6,2.4
Sample19,1.615,3.6,1.615,1.6,3.6
Sample20,1.835,3,1.835,3.6,1.8
Sample21,2.465,4.2,2.465,4.8,3.2
Sample22,3.52,4.6,3.52,3.8,3.4
Sample23,3.435,5,3.435,2.6,4.8
Sample24,3.84,5,3.84,2,2
Sample25,3.845,2.6,3.845,4.6,5
Sample26,1.935,4.6,1.935,4.2,2.6
Sample27,2.14,3.6,2.14,4,3.2
Sample28,1.513,2.6,1.513,3,1.4
Sample29,3.17,2,3.17,1.6,4.2
Sample30,2.77,4.2,2.77,2,2.6
Sample31,3.57,1.6,3.57,3.2,2.2
Sample32,2.78,4.2,2.78,1,1.6
