from,to,weight
TF1,WRKY1,1
TF1,WRKY2,2
TF1,WRKY3,3
TF1,WRKY4,4
TF1,WRKY5,5
TF1,WRKY6,1
TF1,MADS1,2
TF1,MADS2,3
TF1,MADS3,4
TF1,MADS4,5
TF1,MADS5,1
TF1,MADS6,2
TF1,MADS7,3
TF1,bZIP1,4
TF1,bZIP2,5
TF1,bZIP3,1
TF1,bZIP4,2
TF1,bHLH1,3
TF1,bHLH2,4
TF1,bHLH3,5
TF1,bHLH4,1
TF1,bHLH5,2
TF1,NAC1,3
TF1,NAC2,4
TF1,NAC3,5
TF1,NAC4,1
TF1,NAC5,2
TF1,NAC6,3
TF1,NAC7,4
TF1,NAC8,5
TF1,NAC9,1
TF2,WRKY1,2
TF2,WRKY2,3
TF2,WRKY3,4
TF2,WRKY4,5
TF2,WRKY5,1
TF2,WRKY6,2
TF2,MADS1,3
TF2,MADS2,4
TF2,MADS3,5
TF2,MADS4,1
TF2,MADS5,2
TF2,MADS6,3
TF2,MADS7,4
TF2,bZIP1,5
TF2,bZIP2,1
TF2,bZIP3,2
TF2,bZIP4,3
TF2,bHLH1,4
TF2,bHLH2,5
TF2,bHLH3,1
TF2,bHLH4,2
TF2,bHLH5,3
TF2,NAC1,4
TF2,NAC2,5
TF2,NAC3,1
TF2,NAC4,2
TF2,NAC5,3
TF2,NAC6,4
TF2,NAC7,5
TF2,NAC8,1
TF2,NAC9,2
TF3,WRKY1,2
TF3,WRKY2,3
TF3,WRKY3,4
TF3,WRKY4,5
TF3,WRKY5,1
TF3,WRKY6,2
TF3,MADS1,3
TF3,MADS2,4
TF3,MADS3,5
TF3,MADS4,1
TF3,MADS5,2
TF3,MADS6,3
TF3,MADS7,4
TF3,bZIP1,5
TF3,bZIP2,1
TF3,bZIP3,2
TF3,bZIP4,3
TF3,bHLH1,4
TF3,bHLH2,5
TF3,bHLH3,1
TF3,bHLH4,2
TF3,bHLH5,3
TF3,NAC1,4
TF3,NAC2,5
TF3,NAC3,1
TF3,NAC4,2
TF3,NAC5,3
TF3,NAC6,4
TF3,NAC7,5
TF3,NAC8,1
TF3,NAC9,2
TF4,WRKY1,2
TF4,WRKY2,3
TF4,WRKY3,4
TF4,WRKY4,5
TF4,WRKY5,1
TF4,WRKY6,2
TF4,MADS1,3
TF4,MADS2,4
TF4,MADS3,5
TF4,MADS4,1
TF4,MADS5,2
TF4,MADS6,3
TF4,MADS7,4
TF4,bZIP1,5
TF4,bZIP2,1
TF4,bZIP3,2
TF4,bZIP4,3
TF4,bHLH1,4
TF4,bHLH2,5
TF4,bHLH3,1
TF4,bHLH4,2
TF4,bHLH5,3
TF4,NAC1,4
TF4,NAC2,5
TF4,NAC3,1
TF4,NAC4,2
TF4,NAC5,3
TF4,NAC6,4
TF4,NAC7,5
TF4,NAC8,1
TF4,NAC9,2
TF5,WRKY1,2
TF5,WRKY2,3
TF5,WRKY3,4
TF5,WRKY4,5
TF5,WRKY5,1
TF5,WRKY6,2
TF5,MADS1,3
TF5,MADS2,4
TF5,MADS3,5
TF5,MADS4,1
TF5,MADS5,2
TF5,MADS6,3
TF5,MADS7,4
TF5,bZIP1,5
TF5,bZIP2,1
TF5,bZIP3,2
TF5,bZIP4,3
TF5,bHLH1,4
TF5,bHLH2,5
TF5,bHLH3,1
TF5,bHLH4,2
TF5,bHLH5,3
TF5,NAC1,4
TF5,NAC2,5
TF5,NAC3,1
TF5,NAC4,2
TF5,NAC5,3
TF5,NAC6,4
TF5,NAC7,5
TF5,NAC8,1
TF5,NAC9,2
WRKY1,MADS2,3
WRKY2,MADS3,4
WRKY3,MADS4,5
WRKY4,MADS5,1
WRKY5,MADS6,2
WRKY6,MADS7,3
MADS1,bZIP1,4
MADS2,bZIP2,5
MADS3,bZIP3,1
MADS4,bZIP4,2
MADS5,bHLH1,3
MADS6,bHLH2,4
MADS7,bHLH3,5
bZIP1,bHLH4,1
bZIP2,bHLH5,2
bZIP3,NAC1,3
bZIP4,NAC2,4
bHLH1,NAC3,5
bHLH2,NAC4,1
bHLH3,NAC5,2
bHLH4,NAC6,3
bHLH5,NAC7,4
MADS1,bZIP3,5
MADS2,bZIP4,1
MADS3,bHLH1,2
MADS4,bHLH2,3
MADS5,bHLH3,4
MADS6,bHLH4,5
MADS7,bHLH5,1
